producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
La Quebrada blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orfila 1250cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,23.0,10.0,1.0,4.0,0,0,0,0,0,0,0,0
Astica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,10.0,3.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon Bonarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,0,6.0,1.0,1.0,0,3.0,0,0,1.0,0,2.0,1.0,2.0,0,1.0,1.0,0,0,0,0,0,3.0,0,2.0,1.0,0,0,1.0,1.0,2.0,0,0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0
Tocornal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,15.0,12.0,11.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,8.0,6.0,8.0,2.0,7.0,3.0,15.0,2.0,5.0,0,1.0,9.0,3.0,0
Bianchi,0,0,0,0,0,0,0,0,0,2.0,0,3.0,3.0,5.0,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Salafia bonarda malbec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Roque Magnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don bosco LAMBRUSCO MAESTRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0
Toro Viejo Clasico Magnum,0,0,0,0,0,0,0,1.0,1.0,0,1.0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,3.0,8.0,0,0,5.0,1.0,0,0,0,4.0,4.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0
Benjamin,0,0,0,0,0,0,0,2.0,3.0,0,0,6.0,0,5.0,1.0,1.0,10.0,1.0,1.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,8.0,10.0,4.0,2.0,7.0,39.0,20.0,7.0,5.0,2.0,4.0,4.0,8.0,3.0,0,3.0,5.0,9.0,10.0,15.0,6.0,2.0,8.0,0,7.0,4.0,3.0,6.0,5.0,18.0,18.0,12.0,22.0,3.0,4.0,1.0,8.0,6.0,4.0,12.0,5.0,4.0,3.0,10.0,4.0,12.0,1.0,2.0,5.0,9.0,9.0,2.0,4.0,8.0,12.0,13.0,15.0,3.0,8.0,1.0,0
Ampakama,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,0,4.0,2.0,0,0,11.0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,4.0,3.0,5.0,8.0,2.0,9.0,5.0,6.0,8.0,3.0,1.0,3.0,4.0,0,3.0,12.0,5.0,6.0,6.0,5.0,5.0,2.0,4.0,1.0,3.0,9.0,16.0,18.0,12.0,5.0,7.0,13.0,10.0,14.0,2.0,5.0,8.0,4.0,0,5.0,0,12.0,6.0,9.0,9.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,8.0,13.0,12.0,12.0,12.0,1.0,0
Oeste Andino chablis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oeste Andino borgoña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emilia,0,0,0,0,0,0,0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,0,0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,3.0,1.0,2.0,3.0,5.0,1.0,0,2.0,1.0,3.0,7.0,5.0,0,0,2.0,2.0,6.0,4.0,0,2.0,1.0,5.0,2.0,3.0,0,6.0,1.0,3.0,12.0,6.0,9.0,2.0,7.0,6.0,7.0,8.0,10.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,7.0,4.0,5.0,5.0,2.0,4.0,0,0
San Felipe 375 cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Torino Seleccion Rosado,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,1.0,0,4.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
Moscato Florio,0,0,0,0,0,0,0,11.0,19.0,18.0,18.0,21.0,7.0,9.0,6.0,2.0,2.0,3.0,7.0,9.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,2.0,1.0,0,0,0
Cuesta del Madero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrua,0,0,0,0,0,0,0,25.0,15.0,15.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,4.0,3.0,1.0,0,1.0,2.0,0,0,0,0,0,0,2.0,1.0,3.0,3.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Velazco tto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quara,0,0,0,0,0,0,0,0,1.0,4.0,3.0,3.0,0,3.0,3.0,5.0,2.0,6.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,1.0,2.0,4.0,2.0,6.0,4.0,1.0,4.0,2.0,3.0,0,6.0,5.0,0,0,1.0,6.0,12.0,2.0,0,3.0,2.0,3.0,1.0,5.0,1.0,4.0,7.0,13.0,5.0,8.0,1.0,0,0,5.0,4.0,2.0,0,0,3.0,2.0,1.0,0,0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,6.0,8.0,9.0,5.0,13.0,6.0,10.0,2.0,0
Wish espumante blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suelo A. Malbeck - Sirah - Cabernet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domingo Hnos 3/4,0,0,0,0,0,0,0,7.0,4.0,9.0,1.0,0,1.0,0,0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,6.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1.0,2.0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel,0,0,0,0,0,0,0,5.0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misterio Lata,0,0,0,0,0,0,0,0,74.0,135.0,146.0,108.0,0,0,0,1.0,0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valderroble Magnum,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,2.0,3.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,11.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patero 3/4 (Damajuana),0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,8.0,1.0,7.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,5.0,3.0,0,0,2.0,0,5.0,9.0,8.0,5.0,9.0,6.0,17.0,9.0,0,1.0,5.0,9.0,15.0,13.0,24.0,25.0,12.0,19.0,28.0,7.0,8.0,11.0,19.0,24.0,16.0,14.0,9.0,10.0,13.0,8.0,13.0,12.0,5.0,20.0,16.0,10.0,11.0,12.0,13.0,11.0,12.0,14.0,20.0,6.0,15.0,11.0,32.0,33.0,25.0,23.0,26.0,20.0,18.0,3.0,0
Tocornal 1250cc,0,0,0,0,0,0,0,0,0,0,0,5.0,6.0,3.0,2.0,1.0,14.0,6.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,2.0,9.0,2.0,3.0,27.0,26.0,26.0,18.0,4.0,0
Santa Julia tinto,0,0,0,0,0,0,0,0,0,0,2.0,0,5.0,5.0,2.0,6.0,8.0,4.0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,0,0,6.0,9.0,2.0,8.0,8.0,4.0,1.0,4.0,5.0,4.0,0,10.0,11.0,9.0,11.0,6.0,5.0,5.0,3.0,9.0,6.0,6.0,5.0,6.0,17.0,11.0,6.0,8.0,12.0,6.0,4.0,4.0,15.0,4.0,4.0,13.0,12.0,17.0,18.0,25.0,13.0,11.0,13.0,3.0,0
Santa Julia Chardonnay,0,0,0,0,0,0,0,0,1.0,0,2.0,0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,3.0,8.0,1.0,1.0,2.0,0,3.0,3.0,1.0,3.0,4.0,0,3.0,10.0,1.0,5.0,0,0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,8.0,5.0,2.0,0,0
Cavas San Julian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Felipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafayate Cosecha Tardia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0
Colon Dulce Fresco,0,0,0,0,0,0,0,2.0,4.0,5.0,3.0,2.0,7.0,5.0,14.0,1.0,11.0,6.0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1.0,2.0,1.0,2.0,6.0,2.0,0,0,0,0,2.0,4.0,1.0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,2.0,2.0,1.0,5.0,4.0,0,0
Finca La linda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro Bonarda-syrah bivarietal 1 1/4 lts magnum,0,0,0,0,0,0,0,6.0,8.0,11.0,8.0,7.0,4.0,5.0,4.0,13.0,7.0,7.0,10.0,11.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,10.0,24.0,16.0,10.0,16.0,12.0,11.0,9.0,9.0,12.0,9.0,11.0,7.0,7.0,13.0,5.0,6.0,3.0,7.0,3.0,7.0,7.0,8.0,3.0,4.0,3.0,2.0,5.0,4.0,6.0,5.0,11.0,17.0,10.0,10.0,11.0,9.0,13.0,7.0,9.0,8.0,12.0,9.0,6.0,7.0,11.0,8.0,5.0,4.0,4.0,8.0,6.0,12.0,9.0,6.0,8.0,13.0,12.0,11.0,5.0,3.0,0
Oporto El abuelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,3.0,0,1.0,1.0,1.0,0,0,0,0,1.0,2.0,0,2.0,1.0,0,1.0,0,0
Aberdeen Angus Malbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hereford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1.0,0,0,2.0,0,0,0,1.0,1.0,1.0,4.0,2.0,9.0,11.0,0,0,0,10.0,6.0,12.0,6.0,0,0,0,0,2.0,4.0,0,0,0,0,0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nieto Senetiner 3/4 (Cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,4.0,0,2.0,2.0,1.0,5.0,0,0,1.0,1.0,6.0,1.0,1.0,0,3.0,2.0,1.0,2.0,6.0,1.0,3.0,0,6.0,1.0,1.0,2.0,2.0,0,2.0,3.0,2.0,2.0,0,1.0,3.0,1.0,1.0,1.0,0,0,0,0
Puente Escondido Magnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omnium 3/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,6.0,0,2.0,4.0,5.0,0,3.0,1.0,1.0,0,0,0,0,2.0,2.0,1.0,0,2.0,1.0,0
Saenz Borgoña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Catedra Cabernet y Malbeck magnum,0,0,0,0,0,0,0,3.0,0,0,6.0,13.0,5.0,0,4.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etchart Privado torrontes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,4.0,2.0,4.0,2.0,8.0,11.0,5.0,6.0,4.0,4.0,3.0,8.0,1.0,5.0,6.0,2.0,2.0,1.0,1.0,1.0,0,0,4.0,2.0,0,2.0,0,5.0,1.0,0
Reserva de Familia Los Haroldos,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,13.0,11.0,11.0,11.0,0,6.0,0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,0,0,0,0
Vasco Viejo tinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,13.0,5.0,11.0,9.0,22.0,28.0,6.0,5.0,6.0,7.0,10.0,11.0,8.0,3.0,7.0,8.0,4.0,5.0,4.0,4.0,3.0,8.0,4.0,4.0,1.0,6.0,2.0,5.0,3.0,8.0,13.0,23.0,19.0,25.0,28.0,19.0,18.0,11.0,5.0,7.0,4.0,5.0,0,2.0,6.0,6.0,4.0,9.0,10.0,8.0,5.0,6.0,7.0,4.0,0,4.0,2.0,5.0,1.0,0
Vasco Viejo blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tribu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1.0,0,0,8.0,2.0,10.0,0,0,0,0,0,0,0
Alma Mora con estuche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,0,2.0,2.0,0
Norton Cosecha Tardia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pequeña Vasija 1,5 lt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Julia ESTUCHE (2u.),0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0
